period,tickers,alpha,cosine_corr_vec,hybrid_corr_vec
Q1 2022,META|GOOG|KO|PEP,0.5,"[0.18695820013520592, 0.03251341811485835, -0.07141199425651255, 0.03871800490247793, 0.07222294446949674, 0.030980095260577215]","[0.16177597436953706, 0.129750004219638, -0.042219150439379405, 0.20359554530587443, 0.13567949474618546, 0.22028038275484452]"
Q1 2023,META|GOOG|KO|PEP,0.5,"[0.29657293804243706, 0.15742325724967546, -0.002975727049347257, 0.15105170177244912, 0.027067219166517536, 0.07543071439141417]","[0.25291783832963244, 0.19911639646756107, -0.04641465087100172, 0.24894139057484477, 0.024272166999556255, 0.14614530730728337]"
Q1 2024,META|GOOG|KO|PEP,0.5,"[0.38409104272472416, 0.03471468941129387, 0.04734155935102954, -0.048529029534023854, 0.06509387365162717, -0.01416881523665868]","[0.40740644512786384, 0.1500575446276351, 0.1206613944469277, 0.07654938374285525, 0.12856600288959763, 0.1051630125033245]"
Q1 2025,META|GOOG|KO|PEP,0.5,"[0.4559736815644576, -0.016961232741850782, 0.018811699563026984, 0.06500987282043894, 0.15093498037540118, 0.0751156211169019]","[0.45798460323558365, 0.009633348575312395, 0.08432052900702924, 0.13568493730663267, 0.25349399025190245, 0.14743912899699962]"
Q2 2022,META|GOOG|KO|PEP,0.5,"[0.27803027102104416, -0.15457010656444187, -0.05100402032947568, 0.12657388242334724, 0.05296732218395195, 0.08381245316386282]","[0.25359329323166957, 0.018620020956946703, -0.003762207818179153, 0.2725842344263487, 0.12496681966643264, 0.27765919702736275]"
Q2 2023,META|GOOG|KO|PEP,0.5,"[0.14785152989320344, 0.004491895121255315, -0.02699800848840495, -0.04912913996171221, -0.10591615259877217, 0.00795032258752909]","[0.2736558380774996, 0.0896054971750413, 0.17696676659040067, 0.009681585715650032, 0.0727435925105786, 0.08877020644421263]"
Q2 2024,META|GOOG|KO|PEP,0.5,"[0.47918710964498396, 0.028761022616949284, 0.1600781345467998, -0.07158342535357912, 0.12130331089230957, 0.17203638480590303]","[0.44044401154789536, 0.14029640770644058, 0.1555798777518287, 0.051353604757628846, 0.11268386876118819, 0.25682944510668193]"
Q2 2025,META|GOOG|KO|PEP,0.5,"[0.4426824126911502, -0.041085794547733694, 0.009330646498822245, 0.005022866972148615, -0.018953398003056027, 0.08835840076074152]","[0.3662187726166608, 0.026195214443164527, -0.005896088915928521, 0.16170998826853822, 0.05870543195266387, 0.2583592037888107]"
Q3 2022,META|GOOG|KO|PEP,0.5,"[0.18193100094008385, 0.07213718152056325, -0.036168006992768405, 0.03088260574474464, -0.1485267246894578, -0.08387503502946744]","[0.26497292639588266, 0.296216611823064, -0.04630811667885937, 0.23368014814072602, -0.1607993195726607, -0.0028993238105303742]"
Q3 2023,META|GOOG|KO|PEP,0.5,"[0.5098140689875045, 0.04956665643961606, 0.049816026535181156, 0.1642444867773023, 0.07755733411887113, 0.08965002908142473]","[0.43759425468043034, 0.11730712115399977, 0.0010367632375449798, 0.22613132471423936, 0.03963297126277232, 0.16536251226839505]"
Q3 2025,META|GOOG|KO|PEP,0.5,"[0.2601197410550421, 0.006425744923579648, 0.10485953924729505, -0.01896419264424663, 0.10078672884956506, 0.005468963399761637]","[0.2295414603140724, 0.11679260025923188, 0.22453230408390823, 0.0014181987496955095, 0.12470108668418067, 0.1622138825343562]"
Q4 2022,META|GOOG|KO|PEP,0.5,"[0.11574609037357375, 0.04203706357457216, -0.015003157178431084, -0.026645614503976057, -0.14538646762041627, 0.20159318866831794]","[0.12485240669746389, 0.19990800064863734, 0.028086487461465914, 0.13275731468358076, -0.09275943450349455, 0.31790423889965513]"
Q4 2023,META|GOOG|KO|PEP,0.5,"[0.2535500416539548, -0.02929884904686552, -0.03212130815797157, -0.027321671643646152, 0.1239419841312303, 0.1212935759726492]","[0.27741360877404553, 0.08882543480533256, -0.015196563685744957, 0.10679144461098744, 0.13040833480341596, 0.17023324802226592]"
Q4 2024,META|GOOG|KO|PEP,0.5,"[0.4932929672243426, 0.06321004554825041, 0.12012241755043437, 0.05054840373348054, 0.19495033992167174, 0.028136017894918146]","[0.43156953716517843, 0.14287024468230314, 0.09016804179223303, 0.12747977925338816, 0.1528128495437444, 0.12492375072890871]"
